movie_name,quote,ranking,score,score_num
黑鹰坠落,还原真实而残酷的战争。,237,8.6,145693
我爱你,你要相信，这世上真的有爱存在，不管在什么年纪 ,238,9.0,73078
千钧一发,一部能引人思考的科幻励志片。,239,8.7,111260
2001太空漫游,现代科幻电影的开山之作，最伟大导演的最伟大影片。,240,8.7,120423
海盗电台,生命不止，摇滚不死。,241,8.6,184353
海蒂和爷爷,,242,9.0,71050
荒野生存,出门必备：本草纲目。,243,8.6,148747
遗愿清单,用剩余不多的时间，去燃烧整个生命。,244,8.5,161049
英国病人,"In memory, love lives forever...",245,8.5,196802
荒岛余生,一个人的独角戏。,246,8.5,163433
勇士,热血沸腾，相当完美的娱乐拳击大餐。,247,8.9,99990
枪火,一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,248,8.7,118855
迁徙的鸟,最美的飞翔。,249,9.1,57829
攻壳机动队,上承《银翼杀手》，下启《黑客帝国》。,250,8.9,72137
